Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons
OID50004,True,False,False,True,True,3
OID50005,False,False,True,False,False,1
OID50006,True,True,True,True,True,5
OID50007,False,False,False,False,False,0
OID50008,False,False,False,False,False,0
OID50009,False,False,False,False,False,0
OID50010,False,False,True,True,True,3
OID50011,True,False,True,False,True,3
OID50012,False,False,False,False,False,0
OID50013,False,False,False,True,False,1
OID50014,False,False,False,True,False,1
OID50017,False,False,True,False,False,1
OID50018,False,False,True,True,True,3
OID50019,False,False,False,False,True,1
OID50020,True,True,False,False,True,3
OID50021,False,False,False,False,False,0
OID50022,False,False,False,True,False,1
OID50023,False,False,False,False,False,0
OID50024,False,True,True,True,True,4
OID50025,False,True,True,False,False,2
OID50026,False,True,True,True,True,4
OID50027,True,True,True,True,True,5
OID50028,False,False,False,False,False,0
OID50029,False,False,False,False,False,0
OID50030,False,False,False,False,False,0
OID50031,False,False,True,False,False,1
OID50032,False,False,False,False,False,0
OID50033,False,False,True,True,True,3
OID50034,False,True,False,True,True,3
OID50035,False,True,True,True,True,4
OID50037,False,False,False,False,False,0
OID50038,False,False,False,False,True,1
OID50039,False,True,True,True,True,4
OID50040,False,True,True,False,True,3
OID50041,True,True,True,True,True,5
OID50042,False,False,False,False,True,1
OID50043,False,True,True,True,True,4
OID50044,False,False,False,True,True,2
OID50045,False,False,False,False,False,0
OID50046,False,False,False,False,False,0
OID50047,False,False,False,True,False,1
OID50048,True,False,False,False,False,1
OID50049,False,False,False,False,False,0
OID50050,True,True,False,True,True,4
OID50051,False,True,True,True,True,4
OID50052,False,False,True,False,False,1
OID50053,False,False,False,False,False,0
OID50054,True,True,True,True,True,5
OID50055,True,True,True,True,False,4
OID50056,False,False,False,False,False,0
OID50057,False,False,False,False,False,0
OID50059,False,False,False,False,False,0
OID50060,False,False,False,False,False,0
OID50061,False,False,False,False,False,0
OID50062,False,False,True,True,True,3
OID50063,True,True,True,True,True,5
OID50064,True,True,True,True,True,5
OID50065,True,False,True,True,True,4
OID50066,False,False,False,False,False,0
OID50067,False,False,False,False,False,0
OID50068,False,False,False,False,False,0
OID50069,False,False,False,False,False,0
OID50070,True,True,True,True,True,5
OID50071,False,True,False,True,True,3
OID50072,False,False,True,False,False,1
OID50073,True,False,False,True,True,3
OID50074,False,False,False,False,False,0
OID50075,False,False,False,False,False,0
OID50076,False,True,True,True,True,4
OID50077,False,True,True,True,True,4
OID50078,False,True,True,True,True,4
OID50079,False,False,False,False,False,0
OID50080,False,False,False,False,True,1
OID50081,False,False,False,True,False,1
OID50082,True,True,True,False,True,4
OID50083,False,True,True,True,True,4
OID50084,False,False,False,False,False,0
OID50085,False,False,False,False,True,1
OID50086,False,False,False,False,True,1
OID50087,True,False,True,False,True,3
OID50088,False,True,True,False,True,3
OID50089,False,False,False,True,True,2
OID50090,True,False,True,False,True,3
OID50091,True,False,False,False,True,2
OID50092,False,False,False,False,False,0
OID50093,False,False,True,False,False,1
OID50094,False,False,False,True,True,2
OID50096,False,False,False,False,False,0
OID50097,False,False,True,False,False,1
OID50098,False,True,True,True,True,4
OID50099,False,False,False,False,False,0
OID50100,False,True,True,True,True,4
OID50101,False,True,True,False,True,3
OID50102,False,False,False,False,False,0
OID50103,False,False,False,False,False,0
OID50104,False,False,False,False,False,0
OID50105,False,False,False,False,False,0
OID50106,True,False,True,True,True,4
OID50107,True,True,False,True,False,3
