Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons,tau protein
ABI3BP,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
ABL1,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
ACAA1,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
ACAN,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
ACE2,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
ACP1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ACP3,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
ACP6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ACRV1,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
ACVRL1,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
ACY3,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
ADA,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
ADAM12,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
ADAM15,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
ADAM22,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
ADAM23,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
ADAM8,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ADAMTS1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
ADAMTS15,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ADAMTSL4,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
ADGRB1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ADGRB3,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
ADGRE1,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
ADGRE3,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
ADGRG3,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
ADH4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ADM,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
ADSL,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
