sample_index;forward_barcode;reverse_barcode;count
i3001;FB201772;RB201772;3073
i3001;FB201507;RB201507;710
i3001;FB203264;RB203264;772
i3001;FB200972;RB200972;242
i3001;FB201397;RB201397;476
i3001;FB202538;RB202538;271
i3001;FB203089;RB203089;11
i3001;FB201251;RB201251;515
i3001;FB201778;RB201778;98
i3001;FB201782;RB201782;1071
i3001;FB201537;RB201537;14
i3001;FB200755;RB200755;98
i3001;FB202020;RB202020;43
i3001;FB200489;RB200489;789
i3001;FB201706;RB201706;552
i3001;FB201259;RB201259;93
i3001;FB201461;RB201461;1284
i3001;FB200735;RB200735;783
i3001;FB202726;RB202726;1233
i3001;FB202068;RB202068;1477
i3001;FB201363;RB201363;497
i3001;FB202581;RB202581;1100
i3001;FB201135;RB201135;3958
i3001;FB201566;RB201566;35
i3001;FB201824;RB201824;19
i3001;FB200564;RB200564;366
i3001;FB203249;RB203249;148
i3001;FB201366;RB201366;189
i3001;FB200266;RB200266;12214
i3001;FB201738;RB201738;105
i3001;FB200617;RB200617;1447
i3001;FB201780;RB201780;67
i3001;FB200725;RB200725;10
i3001;FB201494;RB201494;154
i3001;FB201531;RB201531;1196
i3001;FB201796;RB201796;561
i3001;FB202405;RB202405;66
i3001;FB201199;RB201199;7749
i3001;FB200502;RB200502;419
i3001;FB201999;RB201999;7757
i3001;FB200396;RB200396;8234
i3001;FB200007;RB200007;176
i3001;FB200245;RB200245;379
i3001;FB200265;RB200265;391
i3001;FB202407;RB202407;15
i3001;FB202663;RB202663;105
i3001;FB201257;RB201257;2161
i3001;FB201162;RB201162;4521
i3001;FB202579;RB202579;1282
i3001;FB200992;RB200992;965
i3001;FB203364;RB203364;11953
i3001;FB202169;RB202169;917
i3001;FB200298;RB200298;2606
i3001;FB200563;RB200563;135
i3001;FB202465;RB202465;5396
i3001;FB200120;RB200120;57
i3001;FB201683;RB201683;33167
i3001;FB202570;RB202570;23841
i3001;FB201501;RB201501;3862
i3001;FB201655;RB201655;574
i3001;FB202857;RB202857;349
i3001;FB202079;RB202079;379
i3001;FB201616;RB201616;48
i3001;FB200402;RB200402;3206
i3001;FB201239;RB201239;9071
i3001;FB202994;RB202994;1825
i3001;FB200702;RB200702;514
i3001;FB201878;RB201878;513
i3001;FB201077;RB201077;381
i3001;FB200741;RB200741;3126
i3001;FB201062;RB201062;31992
i3001;FB203293;RB203293;496
i3001;FB203328;RB203328;2140
i3001;FB200616;RB200616;762
i3001;FB200919;RB200919;990
i3001;FB200038;RB200038;268
i3001;FB200531;RB200531;123
i3001;FB202534;RB202534;4280
i3001;FB200017;RB200017;1001
i3001;FB201950;RB201950;497
i3001;FB2IC031;RB2IC031;5031
i3001;FB201515;RB201515;74
i3001;FB204214;RB204214;12
i3001;FB202518;RB202518;455
i3001;FB201230;RB201230;2120
i3001;FB201407;RB201407;1114
i3001;FB202710;RB202710;1051
i3001;FB203327;RB203327;2223
i3001;FB200742;RB200742;298
i3001;FB203319;RB203319;76782
i3001;FB201860;RB201860;24752
i3001;FB200850;RB200850;734
i3001;FB202776;RB202776;754
i3001;FB201161;RB201161;154
i3001;FB201592;RB201592;867
i3001;FB200601;RB200601;95
i3001;FB202103;RB202103;279
i3001;FB203241;RB203241;127
i3001;FB200623;RB200623;146
i3001;FB201110;RB201110;4965
i3001;FB202860;RB202860;1007
i3001;FB200665;RB200665;372
i3001;FB201313;RB201313;2819
i3001;FB202909;RB202909;468
i3001;FB200279;RB200279;1320
i3001;FB201128;RB201128;2960
i3001;FB200325;RB200325;625
i3001;FB202006;RB202006;568
i3001;FB202070;RB202070;69
i3001;FB201541;RB201541;4367
i3001;FB201032;RB201032;1431
i3001;FB202059;RB202059;249
i3001;FB202054;RB202054;3356
i3001;FB201193;RB201193;496
i3001;FB200839;RB200839;452
i3001;FB200065;RB200065;53
i3001;FB202471;RB202471;305
