well_id;sample_id;sample_type;sample_matrix;project
A1;A1;NOT_USED;;
A2;A2;NOT_USED;;
A3;A3;NOT_USED;;
A4;AD_20pg;SAMPLE;;
A5;A5;NOT_USED;;
A6;A6;NOT_USED;;
A7;L-1;SAMPLE;;
A8;A8;NOT_USED;;
A9;Ctrl-S_10pg;SAMPLE;;
A10;A10;NOT_USED;;
A11;A11;NOT_USED;;
A12;SampleControl1;SAMPLE_CONTROL;;
B1;B1;NOT_USED;;
B2;B2;NOT_USED;;
B3;B3;NOT_USED;;
B4;B4;NOT_USED;;
B5;B5;NOT_USED;;
B6;B6;NOT_USED;;
B7;B7;NOT_USED;;
B8;Ctrl-S_5pg;SAMPLE;;
B9;B9;NOT_USED;;
B10;B10;NOT_USED;;
B11;AD-S_5pg;SAMPLE;;
B12;SampleControl2;SAMPLE_CONTROL;;
C1;C1;NOT_USED;;
C2;C2;NOT_USED;;
C3;C3;NOT_USED;;
C4;C4;NOT_USED;;
C5;C5;NOT_USED;;
C6;C6;NOT_USED;;
C7;C7;NOT_USED;;
C8;C8;NOT_USED;;
C9;C9;NOT_USED;;
C10;C10;NOT_USED;;
C11;C11;NOT_USED;;
C12;SampleControl3;SAMPLE_CONTROL;;
D1;AD-S_1pg;SAMPLE;;
D2;D2;NOT_USED;;
D3;Ctrl-S_20pg;SAMPLE;;
D4;D4;NOT_USED;;
D5;D5;NOT_USED;;
D6;D6;NOT_USED;;
D7;D7;NOT_USED;;
D8;D8;NOT_USED;;
D9;D9;NOT_USED;;
D10;D10;NOT_USED;;
D11;D11;NOT_USED;;
D12;PlateControl1;PLATE_CONTROL;;
E1;E1;NOT_USED;;
E2;E2;NOT_USED;;
E3;E3;NOT_USED;;
E4;E4;NOT_USED;;
E5;E5;NOT_USED;;
E6;E6;NOT_USED;;
E7;Ctrl-S_1pg;SAMPLE;;
E8;E8;NOT_USED;;
E9;E9;NOT_USED;;
E10;E10;NOT_USED;;
E11;E11;NOT_USED;;
E12;PlateControl2;PLATE_CONTROL;;
F1;F1;NOT_USED;;
F2;L-2;SAMPLE;;
F3;F3;NOT_USED;;
F4;F4;NOT_USED;;
F5;F5;NOT_USED;;
F6;AD-S_10pg;SAMPLE;;
F7;F7;NOT_USED;;
F8;F8;NOT_USED;;
F9;F9;NOT_USED;;
F10;F10;NOT_USED;;
F11;F11;NOT_USED;;
F12;PlateControl3;PLATE_CONTROL;;
G1;Ctrl-S_40pg;SAMPLE;;
G2;G2;NOT_USED;;
G3;G3;NOT_USED;;
G4;G4;NOT_USED;;
G5;G5;NOT_USED;;
G6;G6;NOT_USED;;
G7;G7;NOT_USED;;
G8;G8;NOT_USED;;
G9;G9;NOT_USED;;
G10;G10;NOT_USED;;
G11;NegativeControl1;NEGATIVE_CONTROL;;
G12;PlateControl4;PLATE_CONTROL;;
H1;H1;NOT_USED;;
H2;H2;NOT_USED;;
H3;AD-S_40pg;SAMPLE;;
H4;H4;NOT_USED;;
H5;H5;NOT_USED;;
H6;H6;NOT_USED;;
H7;H7;NOT_USED;;
H8;H8;NOT_USED;;
H9;H9;NOT_USED;;
H10;H10;NOT_USED;;
H11;NegativeControl2;NEGATIVE_CONTROL;;
H12;PlateControl5;PLATE_CONTROL;;
