	Component1	Component2	group2s
AD-S_1pg (AD)	7.63887508820947	2.02166054841298	AD
AD-S_5pg (AD)	-4.00752076855357	-1.50601028677078	AD
AD-S_10pg (AD)	-3.89777635345761	22.4268631331085	AD
AD_20pg (AD)	-22.2348948043652	-6.08567394794063	AD
AD-S_40pg (AD)	-18.6919496488072	-2.29478317185636	AD
Ctrl-S_1pg (Ctrl-S)	-5.01328364239099	-2.23572680385989	Ctrl-S
Ctrl-S_5pg (Ctrl-S)	12.9653536116666	-2.67261991381263	Ctrl-S
Ctrl-S_10pg (Ctrl-S)	13.9479723172842	-3.83057418298884	Ctrl-S
Ctrl-S_20pg (Ctrl-S)	5.33830674810598	-5.32242579924558	Ctrl-S
Ctrl-S_40pg (Ctrl-S)	13.9549174523084	-0.500709575046714	Ctrl-S
