	Component1	Component2	group2s
AD-S_1pg (Lib)	5.62728095278191	5.48130992234951	Lib
AD-S_5pg (Lib)	-5.40679470084947	-0.535825660688157	Lib
AD-S_10pg (Lib)	-5.7643987022665	21.3625434168231	Lib
AD_20pg (Lib)	-23.0776435701266	-6.6794116361001	Lib
AD-S_40pg (Lib)	-19.731466260022	-1.88403852278091	Lib
Ctrl-S_1pg (Lib)	-6.31843726308271	-0.632701238062809	Lib
Ctrl-S_5pg (Lib)	11.5071527136153	-0.0609486268255611	Lib
Ctrl-S_10pg (Lib)	13.0209872335929	-2.74460383128881	Lib
Ctrl-S_20pg (Lib)	4.82815254291222	-5.38264189715351	Lib
Ctrl-S_40pg (Lib)	12.3992254315867	2.06050151811777	Lib
L-1 (Lib)	0.997443148060968	-5.66575320603074	Lib
L-2 (Lib)	11.9184984737973	-5.31843023835971	Lib
