	Component1	Component2	group2s
AD-S_1pg (AD)	5.62728095278191	5.48130992234951	AD
AD-S_5pg (AD)	-5.40679470084947	-0.535825660688157	AD
AD-S_10pg (AD)	-5.7643987022665	21.3625434168231	AD
AD_20pg (AD)	-23.0776435701266	-6.6794116361001	AD
AD-S_40pg (AD)	-19.731466260022	-1.88403852278091	AD
Ctrl-S_1pg (Ctrl-S)	-6.31843726308271	-0.632701238062809	Ctrl-S
Ctrl-S_5pg (Ctrl-S)	11.5071527136153	-0.0609486268255611	Ctrl-S
Ctrl-S_10pg (Ctrl-S)	13.0209872335929	-2.74460383128881	Ctrl-S
Ctrl-S_20pg (Ctrl-S)	4.82815254291222	-5.38264189715351	Ctrl-S
Ctrl-S_40pg (Ctrl-S)	12.3992254315867	2.06050151811777	Ctrl-S
L-1 (L)	0.997443148060968	-5.66575320603074	L
L-2 (L)	11.9184984737973	-5.31843023835971	L
