Assay	OlinkID	LOD	Missing_data	Below_LOD	Valid_data
CCND1	OID50004	NA	0	0	12
CENPS	OID50005	NA	0	0	12
ERG	OID50006	NA	0	0	12
EVL	OID50007	NA	0	0	12
FBXO40	OID50008	NA	0	0	12
GSDMD	OID50009	NA	0	0	12
HDAC5	OID50010	NA	0	0	12
IFNB1	OID50011	NA	0	0	12
IFNL4	OID50012	NA	0	0	12
IL11RA	OID50013	NA	0	0	12
IRAK1BP1	OID50014	NA	0	0	12
PDE4C	OID50017	NA	0	0	12
PSMB11	OID50018	NA	0	0	12
RIPK3	OID50019	NA	0	0	12
RNF135	OID50020	NA	0	0	12
UBA52	OID50021	NA	0	0	12
UBE2E2	OID50022	NA	0	0	12
ADH4	OID50023	NA	0	0	12
AKAP8	OID50024	NA	0	0	12
ALK	OID50025	NA	0	0	12
ARHGEF2	OID50026	NA	0	0	12
ATF1	OID50027	NA	0	0	12
ATP6V0D1	OID50028	NA	0	0	12
BACE1	OID50029	NA	0	0	12
BTNL9	OID50030	NA	0	0	12
C8orf34	OID50031	NA	0	0	12
CD300LB	OID50032	NA	0	0	12
CEBPB	OID50033	NA	0	0	12
CHRM3	OID50034	NA	0	0	12
CHST2	OID50035	NA	0	0	12
CLTA	OID50037	NA	0	0	12
CYLD	OID50038	NA	0	0	12
DDX21	OID50039	NA	0	0	12
DDX60	OID50040	NA	0	0	12
DHX36	OID50041	NA	0	0	12
DYNC1I2	OID50042	NA	0	0	12
ECSIT	OID50043	NA	0	0	12
EDNRB	OID50044	NA	0	0	12
GAP43	OID50045	NA	0	0	12
GBP3	OID50046	NA	0	0	12
HRH1	OID50047	NA	0	0	12
LCK	OID50048	NA	0	0	12
LTK	OID50049	NA	0	0	12
MAFB	OID50050	NA	0	0	12
MAPKAP1	OID50051	NA	0	0	12
MEF2C	OID50052	NA	0	0	12
MTAP	OID50053	NA	0	0	12
MYO1E	OID50054	NA	0	0	12
NBEAL2	OID50055	NA	0	0	12
NCF1C_NCF1	OID50056	NA	0	0	12
NCR3	OID50057	NA	0	0	12
PCNA	OID50059	NA	0	0	12
PLCG1	OID50060	NA	0	0	12
PRKN	OID50061	NA	0	0	12
PTPN11	OID50062	NA	0	0	12
PTPN14	OID50063	NA	0	0	12
RNF213	OID50064	NA	0	0	12
RYK	OID50065	NA	0	0	12
SDHA	OID50066	NA	0	0	12
SDHAF4	OID50067	NA	0	0	12
SEC13	OID50068	NA	0	0	12
SIKE1	OID50069	NA	0	0	12
SMARCA4	OID50070	NA	0	0	12
SMURF1	OID50071	NA	0	0	12
SPN	OID50072	NA	0	0	12
STK11IP	OID50073	NA	0	0	12
STK39	OID50074	NA	0	0	12
SUMO1	OID50075	NA	0	0	12
TARDBP	OID50076	NA	0	0	12
TFEB	OID50077	NA	0	0	12
TRIM41	OID50078	NA	0	0	12
TSC22D3	OID50079	NA	0	0	12
UBOX5	OID50080	NA	0	0	12
UBR2	OID50081	NA	0	0	12
VPS54	OID50082	NA	0	0	12
VRK3	OID50083	NA	0	0	12
WFDC3	OID50084	NA	0	0	12
ZC3H12D	OID50085	NA	0	0	12
ACAA1	OID50086	NA	0	0	12
ACP3	OID50087	NA	0	0	12
ACY3	OID50088	NA	0	0	12
ADAM12	OID50089	NA	0	0	12
ADGRG3	OID50090	NA	0	0	12
AFAP1L2	OID50091	NA	0	0	12
AIF1	OID50092	NA	0	0	12
AKT3	OID50093	NA	0	0	12
ALPI	OID50094	NA	0	0	12
ANP32E	OID50096	NA	0	0	12
AOC1	OID50097	NA	0	0	12
ATAD3B	OID50098	NA	0	0	12
ATE1	OID50099	NA	0	0	12
ATF2	OID50100	NA	0	0	12
ATP6AP2	OID50101	NA	0	0	12
ATP6V1F	OID50102	NA	0	0	12
BAG4	OID50103	NA	0	0	12
BAIAP2	OID50104	NA	0	0	12
BAX	OID50105	NA	0	0	12
BCL2L15	OID50106	NA	0	0	12
BGN	OID50107	NA	0	0	12
BRD2	OID50108	NA	0	0	12
BTC	OID50109	NA	0	0	12
BTLA	OID50110	NA	0	0	12
CAMK4	OID50111	NA	0	0	12
CASP1	OID50112	NA	0	0	12
CASP4	OID50113	NA	0	0	12
CAST	OID50114	NA	0	0	12
CBLB	OID50115	NA	0	0	12
CD28	OID50116	NA	0	0	12
CEACAM3	OID50118	NA	0	0	12
CEACAM5	OID50119	NA	0	0	12
CEBPA	OID50120	NA	0	0	12
CEMIP2	OID50121	NA	0	0	12
CEP164	OID50122	NA	0	0	12
CFC1	OID50123	NA	0	0	12
CFDP1	OID50124	NA	0	0	12
CHRM1	OID50125	NA	0	0	12
CHUK	OID50126	NA	0	0	12
CLEC6A	OID50127	NA	0	0	12
CRACR2A	OID50129	NA	0	0	12
CRH	OID50130	NA	0	0	12
CSF2	OID50131	NA	0	0	12
CSF3	OID50132	NA	0	0	12
CSNK1D	OID50133	NA	0	0	12
CTF1	OID50134	NA	0	0	12
CXCL12	OID50136	NA	0	0	12
DCTN4	OID50137	NA	0	0	12
DDX39A	OID50138	NA	0	0	12
RIGI	OID50139	NA	0	0	12
DENR	OID50140	NA	0	0	12
DTX3L	OID50142	NA	0	0	12
DYNC1H1	OID50143	NA	0	0	12
EHD4	OID50144	NA	0	0	12
EIF4E2	OID50145	NA	0	0	12
ELOB	OID50146	NA	0	0	12
ENAH	OID50147	NA	0	0	12
EPB41L3	OID50148	NA	0	0	12
ERF	OID50149	NA	0	0	12
ESR1	OID50150	NA	0	0	12
EXOSC3	OID50151	NA	0	0	12
FAF2	OID50152	NA	0	0	12
FBXO28	OID50153	NA	0	0	12
FCER1A	OID50154	NA	0	0	12
FCRL3	OID50156	NA	0	0	12
FGF5	OID50157	NA	0	0	12
FGR	OID50158	NA	0	0	12
FKBP10	OID50159	NA	0	0	12
FKBP15	OID50160	NA	0	0	12
FLT3	OID50161	NA	0	0	12
FOLH1	OID50162	NA	0	0	12
FOXJ3	OID50163	NA	0	0	12
FOXO3	OID50164	NA	0	0	12
FUS	OID50165	NA	0	0	12
FXYD5	OID50166	NA	0	0	12
FYCO1	OID50167	NA	0	0	12
GALNT3	OID50168	NA	0	0	12
GBP2	OID50169	NA	0	0	12
GCG	OID50171	NA	0	0	12
GDNF	OID50173	NA	0	0	12
GFAP	OID50174	NA	0	0	12
GFER	OID50175	NA	0	0	12
GSTP1	OID50176	NA	0	0	12
HDAC9	OID50177	NA	0	0	12
HIF1A	OID50178	NA	0	0	12
HNRNPA0	OID50179	NA	0	0	12
HPGDS	OID50180	NA	0	0	12
HRAS	OID50181	NA	0	0	12
HS6ST2	OID50182	NA	0	0	12
HSP90B1	OID50183	NA	0	0	12
ICA1	OID50184	NA	0	0	12
IFIT1	OID50185	NA	0	0	12
IFIT3	OID50186	NA	0	0	12
IFNG	OID50187	NA	0	0	12
IL10	OID50188	NA	0	0	12
IL10RA	OID50189	NA	0	0	12
IL11	OID50190	NA	0	0	12
IL12RB1	OID50191	NA	0	0	12
IL13	OID50192	NA	0	0	12
IL15RA	OID50193	NA	0	0	12
IL17A	OID50194	NA	0	0	12
IL17C	OID50195	NA	0	0	12
IL17D	OID50196	NA	0	0	12
IL17F	OID50197	NA	0	0	12
IL1A	OID50198	NA	0	0	12
IL1B	OID50199	NA	0	0	12
IL1RL2	OID50200	NA	0	0	12
IL2	OID50201	NA	0	0	12
IL20	OID50202	NA	0	0	12
IL20RA	OID50203	NA	0	0	12
IL22RA1	OID50205	NA	0	0	12
IL2RB	OID50206	NA	0	0	12
IL31RA	OID50207	NA	0	0	12
IL33	OID50208	NA	0	0	12
IL36B	OID50209	NA	0	0	12
IL3RA	OID50210	NA	0	0	12
IL4	OID50211	NA	0	0	12
IL9	OID50212	NA	0	0	12
IRAK1	OID50213	NA	0	0	12
ITCH	OID50214	NA	0	0	12
ITGB6	OID50215	NA	0	0	12
JTB	OID50216	NA	0	0	12
KIAA0319L	OID50218	NA	0	0	12
KIF4A	OID50219	NA	0	0	12
KIFAP3	OID50220	NA	0	0	12
KIR3DL1	OID50221	NA	0	0	12
KLHL41	OID50222	NA	0	0	12
KLRF1	OID50223	NA	0	0	12
KRT5	OID50224	NA	0	0	12
LIF	OID50225	NA	0	0	12
LILRB4	OID50226	NA	0	0	12
LRRFIP1	OID50227	NA	0	0	12
LRRN1	OID50228	NA	0	0	12
LTBP3	OID50229	NA	0	0	12
MAP3K5	OID50230	NA	0	0	12
MAPKAPK2	OID50231	NA	0	0	12
MAPT	OID50232	NA	0	0	12
MAVS	OID50233	NA	0	0	12
MILR1	OID50234	NA	0	0	12
MINDY2	OID50235	NA	0	0	12
MKI67	OID50236	NA	0	0	12
MMP13	OID50237	NA	0	0	12
MPST	OID50238	NA	0	0	12
MUC13	OID50239	NA	0	0	12
MUC20	OID50240	NA	0	0	12
MVK	OID50241	NA	0	0	12
MYL11	OID50242	NA	0	0	12
MYL3	OID50243	NA	0	0	12
MYO9B	OID50244	NA	0	0	12
NBN	OID50245	NA	0	0	12
NCKIPSD	OID50246	NA	0	0	12
NDUFAF2	OID50247	NA	0	0	12
NDUFS6	OID50248	NA	0	0	12
NECAB2	OID50249	NA	0	0	12
NEFL	OID50250	NA	0	0	12
NFATC3	OID50251	NA	0	0	12
NFKB1	OID50252	NA	0	0	12
NFKBIE	OID50253	NA	0	0	12
NFX1	OID50254	NA	0	0	12
NLGN1	OID50255	NA	0	0	12
NOS1	OID50256	NA	0	0	12
NOS2	OID50257	NA	0	0	12
NOS3	OID50258	NA	0	0	12
NQO1	OID50260	NA	0	0	12
NRTN	OID50261	NA	0	0	12
NUP50	OID50262	NA	0	0	12
ODAM	OID50263	NA	0	0	12
PADI2	OID50264	NA	0	0	12
PADI4	OID50265	NA	0	0	12
PAPPA	OID50266	NA	0	0	12
PARP1	OID50267	NA	0	0	12
PGM2	OID50269	NA	0	0	12
PGR	OID50270	NA	0	0	12
PIKFYVE	OID50271	NA	0	0	12
PJA2	OID50272	NA	0	0	12
PLIN1	OID50273	NA	0	0	12
PNMA1	OID50274	NA	0	0	12
PNPT1	OID50275	NA	0	0	12
POLR3F	OID50276	NA	0	0	12
PPIE	OID50277	NA	0	0	12
PREB	OID50278	NA	0	0	12
PRKAB1	OID50279	NA	0	0	12
PRKAR1B	OID50280	NA	0	0	12
PRKRA	OID50281	NA	0	0	12
PRRC1	OID50282	NA	0	0	12
PSMD5	OID50283	NA	0	0	12
PTEN	OID50284	NA	0	0	12
PTP4A3	OID50285	NA	0	0	12
PXN	OID50286	NA	0	0	12
RAB37	OID50287	NA	0	0	12
RAB44	OID50288	NA	0	0	12
RABGAP1L	OID50289	NA	0	0	12
RAMP2	OID50290	NA	0	0	12
RANBP2	OID50291	NA	0	0	12
RAP1GAP	OID50292	NA	0	0	12
RBFOX3	OID50293	NA	0	0	12
RC3H1	OID50294	NA	0	0	12
RGS8	OID50295	NA	0	0	12
RNF25	OID50296	NA	0	0	12
RNF41	OID50297	NA	0	0	12
RPH3A	OID50299	NA	0	0	12
SAV1	OID50300	NA	0	0	12
SCARB1	OID50301	NA	0	0	12
SCGN	OID50302	NA	0	0	12
SERPINB5	OID50303	NA	0	0	12
SFTPA2	OID50304	NA	0	0	12
SH2B3	OID50305	NA	0	0	12
SIPA1	OID50306	NA	0	0	12
SIRT1	OID50307	NA	0	0	12
SIT1	OID50308	NA	0	0	12
SLAMF8	OID50310	NA	0	0	12
SLC16A1	OID50311	NA	0	0	12
SLIT2	OID50313	NA	0	0	12
SMAD1	OID50314	NA	0	0	12
SMAD2	OID50315	NA	0	0	12
SNAP25	OID50316	NA	0	0	12
SPATA2L	OID50317	NA	0	0	12
SPRED2	OID50318	NA	0	0	12
SPRY2	OID50319	NA	0	0	12
SPTBN2	OID50320	NA	0	0	12
SSB	OID50321	NA	0	0	12
STX5	OID50322	NA	0	0	12
STXBP3	OID50323	NA	0	0	12
TAB2	OID50324	NA	0	0	12
TARBP2	OID50325	NA	0	0	12
TDGF1	OID50326	NA	0	0	12
TK1	OID50327	NA	0	0	12
TLR2	OID50328	NA	0	0	12
TLR4	OID50329	NA	0	0	12
TNF	OID50330	NA	0	0	12
TNFAIP8	OID50331	NA	0	0	12
TNFRSF13C	OID50332	NA	0	0	12
TNFSF15	OID50333	NA	0	0	12
TP53	OID50334	NA	0	0	12
TP53BP1	OID50335	NA	0	0	12
TPMT	OID50336	NA	0	0	12
TPR	OID50337	NA	0	0	12
TRIM40	OID50338	NA	0	0	12
TSLP	OID50339	NA	0	0	12
TYMS	OID50340	NA	0	0	12
UBE2Z	OID50341	NA	0	0	12
WAS	OID50342	NA	0	0	12
WASL	OID50343	NA	0	0	12
WNT9A	OID50344	NA	0	0	12
XIAP	OID50345	NA	0	0	12
ZBTB16	OID50346	NA	0	0	12
ZC3H12A	OID50347	NA	0	0	12
ABI3BP	OID50348	NA	0	0	12
ABL1	OID50349	NA	0	0	12
ACE2	OID50350	NA	0	0	12
ACP1	OID50351	NA	0	0	12
ACP6	OID50352	NA	0	0	12
ACRV1	OID50353	NA	0	0	12
ACVRL1	OID50355	NA	0	0	12
ADA	OID50356	NA	0	0	12
ADAM15	OID50357	NA	0	0	12
ADAM22	OID50358	NA	0	0	12
ADAM23	OID50359	NA	0	0	12
ADAMTS1	OID50360	NA	0	0	12
ADAMTS15	OID50361	NA	0	0	12
ADAMTSL4	OID50362	NA	0	0	12
ADGRB1	OID50363	NA	0	0	12
ADGRB3	OID50364	NA	0	0	12
ADGRE1	OID50365	NA	0	0	12
ADGRE3	OID50366	NA	0	0	12
ADM	OID50367	NA	0	0	12
ADSL	OID50368	NA	0	0	12
AFAP1L1	OID50369	NA	0	0	12
AGR2	OID50370	NA	0	0	12
AGRP	OID50371	NA	0	0	12
AHNAK	OID50372	NA	0	0	12
AHNAK2	OID50373	NA	0	0	12
AHSA1	OID50374	NA	0	0	12
AKAP2	OID50375	NA	0	0	12
AKT1S1	OID50376	NA	0	0	12
AKT2	OID50377	NA	0	0	12
ALDH3A1	OID50378	NA	0	0	12
AMDHD1	OID50379	NA	0	0	12
AMIGO2	OID50380	NA	0	0	12
ANKMY2	OID50382	NA	0	0	12
ANXA10	OID50383	NA	0	0	12
ANXA2	OID50384	NA	0	0	12
AP3B1	OID50385	NA	0	0	12
APBB1IP	OID50386	NA	0	0	12
APEX1	OID50387	NA	0	0	12
APIP	OID50388	NA	0	0	12
ARG1	OID50390	NA	0	0	12
ARHGEF12	OID50391	NA	0	0	12
ASGR1	OID50392	NA	0	0	12
ASS1	OID50393	NA	0	0	12
ATG16L1	OID50394	NA	0	0	12
ATP6V1G1	OID50395	NA	0	0	12
ATP6V1G2	OID50396	NA	0	0	12
ATRAID	OID50397	NA	0	0	12
ATXN3	OID50398	NA	0	0	12
AXIN1	OID50399	NA	0	0	12
AZI2	OID50400	NA	0	0	12
B3GNT7	OID50401	NA	0	0	12
BACH1	OID50402	NA	0	0	12
BAG5	OID50404	NA	0	0	12
BAG6	OID50405	NA	0	0	12
BANK1	OID50406	NA	0	0	12
BCAN	OID50407	NA	0	0	12
BCL2	OID50408	NA	0	0	12
BCL2L1	OID50409	NA	0	0	12
BCR	OID50410	NA	0	0	12
BLNK	OID50411	NA	0	0	12
BMP4	OID50412	NA	0	0	12
BMP6	OID50413	NA	0	0	12
BMP7	OID50414	NA	0	0	12
BNIP3L	OID50415	NA	0	0	12
BOC	OID50416	NA	0	0	12
BOLA2	OID50417	NA	0	0	12
BPIFA2	OID50418	NA	0	0	12
BSG	OID50419	NA	0	0	12
BTN1A1	OID50420	NA	0	0	12
BTN3A2	OID50421	NA	0	0	12
C16orf89	OID50422	NA	0	0	12
C1QA	OID50423	NA	0	0	12
C1QL2	OID50424	NA	0	0	12
C1QTNF6	OID50425	NA	0	0	12
C9orf40	OID50426	NA	0	0	12
CA12	OID50427	NA	0	0	12
CA14	OID50428	NA	0	0	12
CA9	OID50429	NA	0	0	12
CALCA	OID50430	NA	0	0	12
CALCB	OID50431	NA	0	0	12
CALCOCO1	OID50432	NA	0	0	12
CALCOCO2	OID50433	NA	0	0	12
CALML4	OID50434	NA	0	0	12
CAMSAP1	OID50435	NA	0	0	12
CAPG	OID50436	NA	0	0	12
CAPN3	OID50437	NA	0	0	12
CAPS	OID50438	NA	0	0	12
CASP10	OID50439	NA	0	0	12
CASP2	OID50440	NA	0	0	12
CASP7	OID50441	NA	0	0	12
CASP8	OID50442	NA	0	0	12
CASP9	OID50443	NA	0	0	12
CBLN4	OID50444	NA	0	0	12
CC2D1A	OID50445	NA	0	0	12
CCAR1	OID50446	NA	0	0	12
CCER2	OID50447	NA	0	0	12
CCL11	OID50448	NA	0	0	12
CCL20	OID50449	NA	0	0	12
CCL25	OID50450	NA	0	0	12
CCL26	OID50451	NA	0	0	12
CCL28	OID50452	NA	0	0	12
CCL3	OID50453	NA	0	0	12
CCL7	OID50454	NA	0	0	12
CCL8	OID50455	NA	0	0	12
CCN1	OID50456	NA	0	0	12
CCN4	OID50457	NA	0	0	12
CD101	OID50458	NA	0	0	12
CD160	OID50459	NA	0	0	12
CD200	OID50460	NA	0	0	12
CD200R1	OID50461	NA	0	0	12
CD207	OID50462	NA	0	0	12
CD22	OID50463	NA	0	0	12
CD226	OID50464	NA	0	0	12
CD244	OID50465	NA	0	0	12
CD274	OID50466	NA	0	0	12
CD300E	OID50467	NA	0	0	12
CD302	OID50468	NA	0	0	12
CD38	OID50469	NA	0	0	12
CD4	OID50470	NA	0	0	12
CD40LG	OID50471	NA	0	0	12
CD5	OID50472	NA	0	0	12
CD6	OID50473	NA	0	0	12
CD63	OID50474	NA	0	0	12
CD7	OID50475	NA	0	0	12
CD70	OID50476	NA	0	0	12
CD79B	OID50477	NA	0	0	12
CD83	OID50478	NA	0	0	12
CD84	OID50479	NA	0	0	12
CD86	OID50480	NA	0	0	12
CDC26	OID50481	NA	0	0	12
CDCP1	OID50482	NA	0	0	12
CDKN1A	OID50483	NA	0	0	12
CDNF	OID50484	NA	0	0	12
CDSN	OID50485	NA	0	0	12
CEACAM16	OID50486	NA	0	0	12
CEACAM19	OID50487	NA	0	0	12
CEACAM21	OID50488	NA	0	0	12
CEACAM8	OID50489	NA	0	0	12
CES2	OID50490	NA	0	0	12
CES3	OID50491	NA	0	0	12
CFAP36	OID50492	NA	0	0	12
CHCHD6	OID50493	NA	0	0	12
CKAP4	OID50494	NA	0	0	12
CLEC10A	OID50495	NA	0	0	12
CLEC12A	OID50496	NA	0	0	12
CLEC1A	OID50497	NA	0	0	12
CLEC4A	OID50498	NA	0	0	12
CLEC4C	OID50499	NA	0	0	12
CLEC4D	OID50500	NA	0	0	12
CLEC4G	OID50501	NA	0	0	12
CLEC7A	OID50502	NA	0	0	12
