Assay	OlinkID	LOD	Missing_data	Below_LOD	Valid_data
CCND1	OID50004	NA	0	0	1
CENPS	OID50005	NA	0	0	1
ERG	OID50006	NA	0	0	1
EVL	OID50007	NA	0	0	1
FBXO40	OID50008	NA	0	0	1
GSDMD	OID50009	NA	0	0	1
HDAC5	OID50010	NA	0	0	1
IFNB1	OID50011	NA	0	0	1
IFNL4	OID50012	NA	0	0	1
IL11RA	OID50013	NA	0	0	1
IRAK1BP1	OID50014	NA	0	0	1
PDE4C	OID50017	NA	0	0	1
PSMB11	OID50018	NA	0	0	1
RIPK3	OID50019	NA	0	0	1
RNF135	OID50020	NA	0	0	1
UBA52	OID50021	NA	0	0	1
UBE2E2	OID50022	NA	0	0	1
ADH4	OID50023	NA	0	0	1
AKAP8	OID50024	NA	0	0	1
ALK	OID50025	NA	0	0	1
ARHGEF2	OID50026	NA	0	0	1
ATF1	OID50027	NA	0	0	1
ATP6V0D1	OID50028	NA	0	0	1
BACE1	OID50029	NA	0	0	1
BTNL9	OID50030	NA	0	0	1
C8orf34	OID50031	NA	0	0	1
CD300LB	OID50032	NA	0	0	1
CEBPB	OID50033	NA	0	0	1
CHRM3	OID50034	NA	0	0	1
CHST2	OID50035	NA	0	0	1
CLTA	OID50037	NA	0	0	1
CYLD	OID50038	NA	0	0	1
DDX21	OID50039	NA	0	0	1
DDX60	OID50040	NA	0	0	1
DHX36	OID50041	NA	0	0	1
DYNC1I2	OID50042	NA	0	0	1
ECSIT	OID50043	NA	0	0	1
EDNRB	OID50044	NA	0	0	1
GAP43	OID50045	NA	0	0	1
GBP3	OID50046	NA	0	0	1
HRH1	OID50047	NA	0	0	1
LCK	OID50048	NA	0	0	1
LTK	OID50049	NA	0	0	1
MAFB	OID50050	NA	0	0	1
MAPKAP1	OID50051	NA	0	0	1
MEF2C	OID50052	NA	0	0	1
MTAP	OID50053	NA	0	0	1
MYO1E	OID50054	NA	0	0	1
NBEAL2	OID50055	NA	0	0	1
NCF1C_NCF1	OID50056	NA	0	0	1
NCR3	OID50057	NA	0	0	1
PCNA	OID50059	NA	0	0	1
PLCG1	OID50060	NA	0	0	1
PRKN	OID50061	NA	0	0	1
PTPN11	OID50062	NA	0	0	1
PTPN14	OID50063	NA	0	0	1
RNF213	OID50064	NA	0	0	1
RYK	OID50065	NA	0	0	1
SDHA	OID50066	NA	0	0	1
SDHAF4	OID50067	NA	0	0	1
SEC13	OID50068	NA	0	0	1
SIKE1	OID50069	NA	0	0	1
SMARCA4	OID50070	NA	0	0	1
SMURF1	OID50071	NA	0	0	1
SPN	OID50072	NA	0	0	1
STK11IP	OID50073	NA	0	0	1
STK39	OID50074	NA	0	0	1
SUMO1	OID50075	NA	0	0	1
TARDBP	OID50076	NA	0	0	1
TFEB	OID50077	NA	0	0	1
TRIM41	OID50078	NA	0	0	1
TSC22D3	OID50079	NA	0	0	1
UBOX5	OID50080	NA	0	0	1
UBR2	OID50081	NA	0	0	1
VPS54	OID50082	NA	0	0	1
VRK3	OID50083	NA	0	0	1
WFDC3	OID50084	NA	0	0	1
ZC3H12D	OID50085	NA	0	0	1
ACAA1	OID50086	NA	0	0	1
ACP3	OID50087	NA	0	0	1
ACY3	OID50088	NA	0	0	1
ADAM12	OID50089	NA	0	0	1
ADGRG3	OID50090	NA	0	0	1
AFAP1L2	OID50091	NA	0	0	1
AIF1	OID50092	NA	0	0	1
AKT3	OID50093	NA	0	0	1
ALPI	OID50094	NA	0	0	1
ANP32E	OID50096	NA	0	0	1
AOC1	OID50097	NA	0	0	1
ATAD3B	OID50098	NA	0	0	1
ATE1	OID50099	NA	0	0	1
ATF2	OID50100	NA	0	0	1
ATP6AP2	OID50101	NA	0	0	1
ATP6V1F	OID50102	NA	0	0	1
BAG4	OID50103	NA	0	0	1
BAIAP2	OID50104	NA	0	0	1
BAX	OID50105	NA	0	0	1
BCL2L15	OID50106	NA	0	0	1
BGN	OID50107	NA	0	0	1
BRD2	OID50108	NA	0	0	1
BTC	OID50109	NA	0	0	1
BTLA	OID50110	NA	0	0	1
CAMK4	OID50111	NA	0	0	1
CASP1	OID50112	NA	0	0	1
CASP4	OID50113	NA	0	0	1
CAST	OID50114	NA	0	0	1
CBLB	OID50115	NA	0	0	1
CD28	OID50116	NA	0	0	1
CEACAM3	OID50118	NA	0	0	1
CEACAM5	OID50119	NA	0	0	1
CEBPA	OID50120	NA	0	0	1
CEMIP2	OID50121	NA	0	0	1
CEP164	OID50122	NA	0	0	1
CFC1	OID50123	NA	0	0	1
CFDP1	OID50124	NA	0	0	1
CHRM1	OID50125	NA	0	0	1
CHUK	OID50126	NA	0	0	1
CLEC6A	OID50127	NA	0	0	1
CRACR2A	OID50129	NA	0	0	1
CRH	OID50130	NA	0	0	1
CSF2	OID50131	NA	0	0	1
CSF3	OID50132	NA	0	0	1
CSNK1D	OID50133	NA	0	0	1
CTF1	OID50134	NA	0	0	1
CXCL12	OID50136	NA	0	0	1
DCTN4	OID50137	NA	0	0	1
DDX39A	OID50138	NA	0	0	1
RIGI	OID50139	NA	0	0	1
DENR	OID50140	NA	0	0	1
DTX3L	OID50142	NA	0	0	1
DYNC1H1	OID50143	NA	0	0	1
EHD4	OID50144	NA	0	0	1
EIF4E2	OID50145	NA	0	0	1
ELOB	OID50146	NA	0	0	1
ENAH	OID50147	NA	0	0	1
EPB41L3	OID50148	NA	0	0	1
ERF	OID50149	NA	0	0	1
ESR1	OID50150	NA	0	0	1
EXOSC3	OID50151	NA	0	0	1
FAF2	OID50152	NA	0	0	1
FBXO28	OID50153	NA	0	0	1
FCER1A	OID50154	NA	0	0	1
FCRL3	OID50156	NA	0	0	1
FGF5	OID50157	NA	0	0	1
FGR	OID50158	NA	0	0	1
FKBP10	OID50159	NA	0	0	1
