Assay	OlinkID	LOD	Missing_data	Below_LOD	Valid_data
CCND1	OID50004	NA	0	0	7
CENPS	OID50005	NA	0	0	7
ERG	OID50006	NA	0	0	7
EVL	OID50007	NA	0	0	7
FBXO40	OID50008	NA	0	0	7
GSDMD	OID50009	NA	0	0	7
HDAC5	OID50010	NA	0	0	7
IFNB1	OID50011	NA	0	0	7
IFNL4	OID50012	NA	0	0	7
IL11RA	OID50013	NA	0	0	7
IRAK1BP1	OID50014	NA	0	0	7
PDE4C	OID50017	NA	0	0	7
PSMB11	OID50018	NA	0	0	7
RIPK3	OID50019	NA	0	0	7
RNF135	OID50020	NA	0	0	7
UBA52	OID50021	NA	0	0	7
UBE2E2	OID50022	NA	0	0	7
ADH4	OID50023	NA	0	0	7
AKAP8	OID50024	NA	0	0	7
ALK	OID50025	NA	0	0	7
ARHGEF2	OID50026	NA	0	0	7
ATF1	OID50027	NA	0	0	7
ATP6V0D1	OID50028	NA	0	0	7
BACE1	OID50029	NA	0	0	7
BTNL9	OID50030	NA	0	0	7
C8orf34	OID50031	NA	0	0	7
CD300LB	OID50032	NA	0	0	7
CEBPB	OID50033	NA	0	0	7
CHRM3	OID50034	NA	0	0	7
CHST2	OID50035	NA	0	0	7
CLTA	OID50037	NA	0	0	7
CYLD	OID50038	NA	0	0	7
DDX21	OID50039	NA	0	0	7
DDX60	OID50040	NA	0	0	7
DHX36	OID50041	NA	0	0	7
DYNC1I2	OID50042	NA	0	0	7
ECSIT	OID50043	NA	0	0	7
EDNRB	OID50044	NA	0	0	7
GAP43	OID50045	NA	0	0	7
GBP3	OID50046	NA	0	0	7
HRH1	OID50047	NA	0	0	7
LCK	OID50048	NA	0	0	7
LTK	OID50049	NA	0	0	7
MAFB	OID50050	NA	0	0	7
MAPKAP1	OID50051	NA	0	0	7
MEF2C	OID50052	NA	0	0	7
MTAP	OID50053	NA	0	0	7
MYO1E	OID50054	NA	0	0	7
NBEAL2	OID50055	NA	0	0	7
NCF1C_NCF1	OID50056	NA	0	0	7
NCR3	OID50057	NA	0	0	7
PCNA	OID50059	NA	0	0	7
PLCG1	OID50060	NA	0	0	7
PRKN	OID50061	NA	0	0	7
PTPN11	OID50062	NA	0	0	7
PTPN14	OID50063	NA	0	0	7
RNF213	OID50064	NA	0	0	7
RYK	OID50065	NA	0	0	7
SDHA	OID50066	NA	0	0	7
SDHAF4	OID50067	NA	0	0	7
SEC13	OID50068	NA	0	0	7
SIKE1	OID50069	NA	0	0	7
SMARCA4	OID50070	NA	0	0	7
SMURF1	OID50071	NA	0	0	7
SPN	OID50072	NA	0	0	7
STK11IP	OID50073	NA	0	0	7
STK39	OID50074	NA	0	0	7
SUMO1	OID50075	NA	0	0	7
